T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps],MagX [mgauss],MagY [mgauss],MagZ [mgauss],P [mB],T [°C],H [%]
23854, -746, 68, 1401, -24500, 3360, -2590, -447, 565, -867, 995.45, 24.14, 100.0
23858, 1966, -1149, -970, -24500, 3360, -2590, -438, 574, -879, 995.36, 24.14, 100.0
23874, -1285, 1457, 1588, -42350, 37310, 14980, -438, 574, -879, 995.36, 24.14, 100.0
23878, -943, 87, 1137, -42350, 37310, 14980, -469, 624, -882, 995.35, 24.14, 100.0
23894, -1998, 1997, -1649, 88690, 184940, -20300, -469, 624, -882, 995.35, 24.14, 100.0
23898, -548, -174, -1395, -83370, -130480, 65940, -447, 568, -865, 995.33, 24.14, 100.0
23914, 1996, -1998, 210, -83370, -130480, 65940, -447, 568, -865, 995.33, 24.14, 100.0
23918, 1996, -1998, -148, -290500, -437150, 377300, -343, 496, -844, 994.30, 24.16, 100.0
23934, 294, 275, 1003, -290500, -437150, 377300, -343, 496, -844, 994.30, 24.16, 100.0
23938, 219, 298, 844, -222670, -168280, 128100, -321, 486, -837, 993.68, 24.16, 100.0
23954, 854, -477, 985, -222670, -168280, 128100, -321, 486, -837, 993.68, 24.16, 100.0
23958, 912, -425, 942, -80570, -32830, 20440, -309, 478, -829, 993.44, 24.16, 100.0
23974, 889, -509, 927, -91000, -28280, 53970, -286, 477, -819, 993.44, 24.16, 100.0
23978, 850, -516, 951, -91000, -28280, 53970, -286, 477, -819, 993.40, 24.16, 100.0
23994, 564, -545, 1002, -66010, -2730, 66570, -270, 492, -811, 993.40, 24.16, 100.0
23998, 470, -598, 1025, -66010, -2730, 66570, -270, 492, -811, 993.46, 24.14, 100.0
24014, 454, -431, 887, -42770, -1960, 64120, -262, 501, -817, 993.46, 24.14, 100.0
24018, 450, -297, 779, -42770, -1960, 64120, -262, 501, -817, 993.58, 24.14, 100.0
24034, 428, -420, 871, -31570, -15890, 42140, -252, 489, -817, 993.58, 24.14, 100.0
24038, 450, -409, 841, -31570, -15890, 42140, -252, 489, -817, 993.74, 24.14, 100.0
24054, 559, -383, 843, -29540, -32200, 7630, -243, 484, -808, 993.74, 24.14, 100.0
24058, 601, -393, 837, -29540, -32200, 7630, -243, 484, -808, 993.86, 24.14, 100.0
24074, 682, -411, 848, -32060, -36190, -11270, -235, 480, -808, 993.86, 24.17, 100.0
24078, 702, -458, 791, -32060, -36190, -11270, -235, 480, -808, 993.97, 24.17, 100.0
24094, 675, -409, 715, -33250, -28350, -7280, -238, 469, -802, 993.97, 24.17, 100.0
24098, 672, -414, 765, -33250, -28350, -7280, -238, 469, -802, 994.06, 24.17, 100.0
24102, 654, -388, 773, -33250, -28350, -7280, -238, 469, -802, 994.06, 24.17, 100.0
24114, 533, -407, 760, -32760, -20440, -2870, -229, 474, -796, 994.06, 24.17, 100.0
24118, 505, -426, 776, -32760, -20440, -2870, -229, 474, -796, 994.28, 24.17, 100.0
24122, 503, -482, 769, -32760, -20440, -2870, -229, 474, -796, 994.28, 24.17, 100.0
24134, 481, -518, 842, -35140, -11900, -9240, -219, 477, -792, 994.28, 24.17, 100.0
24138, 461, -391, 782, -35140, -11900, -9240, -219, 477, -792, 994.28, 24.17, 100.0
24142, 420, -354, 862, -35140, -11900, -9240, -219, 477, -792, 994.28, 24.17, 100.0
24154, 585, -451, 811, -36120, -13440, -18340, -222, 469, -781, 994.28, 24.17, 100.0
24158, 606, -420, 787, -36120, -13440, -18340, -222, 469, -781, 994.34, 24.17, 100.0
24162, 673, -398, 730, -36120, -13440, -18340, -222, 469, -781, 994.34, 24.17, 100.0
24174, 608, -402, 797, -27230, -17780, -10500, -213, 460, -784, 994.34, 24.17, 100.0
24178, 604, -430, 764, -27230, -17780, -10500, -213, 460, -784, 994.40, 24.17, 100.0
24182, 577, -435, 783, -27230, -17780, -10500, -213, 460, -784, 994.40, 24.17, 100.0
24194, 480, -379, 782, -19320, -8540, 3010, -222, 468, -780, 994.40, 24.17, 100.0
24198, 442, -380, 810, -19320, -8540, 3010, -222, 468, -780, 994.49, 24.17, 100.0
24202, 426, -380, 803, -15050, 140, 2450, -222, 468, -780, 994.49, 24.17, 100.0
24214, 472, -395, 807, -15050, 140, 2450, -217, 463, -787, 994.49, 24.17, 100.0
24218, 548, -365, 785, -15050, 140, 2450, -217, 463, -787, 994.54, 24.17, 100.0
24222, 603, -361, 768, -15680, -3990, -5880, -217, 463, -787, 994.54, 24.17, 100.0
24234, 643, -371, 761, -15680, -3990, -5880, -204, 462, -784, 994.54, 24.17, 100.0
24238, 645, -381, 757, -15680, -3990, -5880, -204, 462, -784, 994.44, 24.17, 100.0
24242, 679, -395, 752, -17850, -9730, -4480, -204, 462, -784, 994.44, 24.17, 100.0
24254, 607, -487, 769, -17850, -9730, -4480, -207, 453, -780, 994.44, 24.17, 100.0
24258, 583, -488, 776, -17850, -9730, -4480, -207, 453, -780, 994.47, 24.17, 100.0
24262, 529, -485, 786, -15890, -3710, 6090, -207, 453, -780, 994.47, 24.17, 100.0
24274, 452, -464, 792, -15890, -3710, 6090, -198, 462, -781, 994.47, 24.17, 100.0
24278, 415, -440, 793, -7560, 1400, 6020, -198, 462, -781, 994.45, 24.17, 100.0
24282, 443, -413, 778, -7560, 1400, 6020, -198, 462, -781, 994.45, 24.17, 100.0
24294, 583, -379, 749, -7560, 1400, 6020, -210, 457, -777, 994.45, 24.17, 100.0
24298, 604, -352, 740, -1470, -5740, -11690, -210, 457, -777, 994.48, 24.17, 100.0
24302, 627, -302, 735, -1470, -5740, -11690, -210, 457, -777, 994.48, 24.17, 100.0
24314, 533, -200, 741, -1470, -5740, -11690, -201, 453, -771, 994.48, 24.17, 100.0
24318, 552, -201, 734, -210, -7350, -22610, -201, 453, -771, 994.43, 24.17, 100.0
24322, 561, -210, 730, -210, -7350, -22610, -201, 453, -771, 994.43, 24.17, 100.0
24334, 565, -259, 739, -5180, -1540, -13790, -196, 453, -771, 994.43, 24.17, 100.0
24338, 551, -255, 748, -5180, -1540, -13790, -196, 453, -771, 994.43, 24.17, 100.0
24342, 568, -277, 753, -5180, -1540, -13790, -196, 453, -771, 994.43, 24.17, 100.0
24354, 664, -355, 755, -14350, 1050, -5740, -199, 456, -774, 994.43, 24.17, 100.0
24358, 716, -382, 776, -14350, 1050, -5740, -199, 456, -774, 994.35, 24.17, 100.0
24362, 821, -383, 723, -14350, 1050, -5740, -192, 451, -772, 994.35, 24.17, 100.0
24374, 739, -619, 826, -22400, 5320, 7490, -192, 451, -772, 994.35, 24.17, 100.0
24378, 703, -560, 807, -22400, 5320, 7490, -192, 451, -772, 994.34, 24.17, 100.0
24382, 692, -534, 790, -22400, 5320, 7490, -193, 462, -768, 994.34, 24.17, 100.0
24394, 716, -553, 788, -18900, 15680, 20230, -193, 462, -768, 994.34, 24.19, 100.0
24398, 705, -549, 786, -18900, 15680, 20230, -193, 462, -768, 994.30, 24.19, 100.0
24402, 696, -545, 778, -18900, 15680, 20230, -184, 463, -775, 994.30, 24.19, 100.0
24414, 615, -530, 791, -6300, 23520, 13370, -184, 463, -775, 994.30, 24.19, 100.0
24418, 589, -529, 790, -6300, 23520, 13370, -184, 463, -775, 994.34, 24.19, 100.0
24422, 546, -530, 796, -6300, 23520, 13370, -183, 465, -775, 994.34, 24.19, 100.0
24434, 247, -453, 856, -490, 29260, 2730, -183, 465, -775, 994.34, 24.19, 100.0
24438, 112, -502, 833, -490, 29260, 2730, -183, 465, -775, 994.29, 24.19, 100.0
24442, 91, -457, 927, -490, 29260, 2730, -186, 477, -780, 994.29, 24.19, 100.0
24454, 86, -549, 905, -1540, 22120, -21700, -186, 477, -780, 994.29, 24.19, 100.0
24458, 310, -685, 861, -1540, 22120, -21700, -186, 477, -780, 994.24, 24.19, 100.0
